Image_name,Pore_status,x_coordinate,y_coordinate
230127_Nup96_1,NPC,503.174585959022,10.262761166404305
230127_Nup96_1,NPC,615.8661824442723,11.857422584402043
230127_Nup96_1,NPC,644.1709277393878,27.564324506573797
230127_Nup96_1,PI,598.2216313304007,63.02653600875553
230127_Nup96_1,NPC,514.4478104984712,33.60760190974038
230127_Nup96_1,PI,600.2134290823351,64.77615749456164
230127_Nup96_1,NPC,613.866401109713,49.21545297217421
230127_Nup96_1,NPC,543.2868787831954,61.63024954352308
230127_Nup96_1,PI,356.76764239756517,70.09046037023168
230127_Nup96_1,NPC,654.8193751638286,64.63860783311657
230127_Nup96_1,NPC,564.4960339950471,69.81255096994754
230127_Nup96_1,NPC,307.8727217583513,72.19776925961776
230127_Nup96_1,NPC,531.5898322849398,76.97715112552441
230127_Nup96_1,NPC,455.0374152418917,80.06098686476152
230127_Nup96_1,NPC,470.8867357535128,80.86073906801937
230127_Nup96_1,NPC,272.92902539614965,85.05722076497948
230127_Nup96_1,NPC,645.9803215614044,87.05868137676039
230127_Nup96_1,NPC,312.8828489950919,89.65424144267483
230127_Nup96_1,NPC,733.3425005592082,93.16040457259332
230127_Nup96_1,NPC,581.7409561558474,93.39141770402256
230127_Nup96_1,NPC,381.81449080117534,95.99888164803089
230127_Nup96_1,NPC,667.8815737575349,97.67995872581095
230127_Nup96_1,NPC,412.8338194617148,100.16555049560439
230127_Nup96_1,NPC,609.0117034944925,99.6984458164749
230127_Nup96_1,NPC,315.4355697714079,100.03638733209976
230127_Nup96_1,NPC,626.2622308442368,101.22562718957057
230127_Nup96_1,NPC,875.826311299655,101.38228421221936
230127_Nup96_1,NPC,824.6442132940329,105.12517717887786
230127_Nup96_1,NPC,295.61502944558396,105.56164168442692
230127_Nup96_1,NPC,598.1377012894441,105.81884230484742
230127_Nup96_1,NPC,819.7372267770768,106.63911528547474
230127_Nup96_1,NPC,845.3736121447639,106.84908257713981
230127_Nup96_1,NPC,235.46122762361927,108.63442314711726
230127_Nup96_1,PI,333.1097135041493,126.73235991041815
230127_Nup96_1,NPC,836.1529942332505,118.84501383115649
230127_Nup96_1,NPC,574.3908845517309,119.8926437804275
230127_Nup96_1,NPC,657.3396220624651,123.32049020147987
230127_Nup96_1,NPC,897.120357031014,123.51562396927784
230127_Nup96_1,NPC,685.2863980640731,125.57884977787087
230127_Nup96_1,NPC,253.5231797400434,128.27696759648293
230127_Nup96_1,NPC,432.1637961271328,130.53653984851425
230127_Nup96_1,NPC,219.34251416306037,133.16756659496957
230127_Nup96_1,NPC,354.13121965529166,132.23048604509336
230127_Nup96_1,NPC,774.1669325374303,133.92679231913098
230127_Nup96_1,NPC,273.2981270430412,135.9033252946864
230127_Nup96_1,NPC,881.8092890525843,138.32730415707255
230127_Nup96_1,NPC,740.2394375328817,140.42863311016185
230127_Nup96_1,NPC,430.67229981485866,143.207671518064
230127_Nup96_1,NPC,627.1104785326318,143.47622530698666
230127_Nup96_1,NPC,753.9022633518454,143.95851964398634
230127_Nup96_1,NPC,197.85464527406484,146.37243662203159
230127_Nup96_1,NPC,386.77609901811667,147.26013748240237
230127_Nup96_1,NPC,878.5388734936569,147.6836858286695
230127_Nup96_1,NPC,607.4860744426715,150.6887713260476
230127_Nup96_1,NPC,676.5675335476949,151.44661917017865
230127_Nup96_1,NPC,728.5682065032166,152.14531076270362
230127_Nup96_1,NPC,374.726005403983,151.43249431044742
230127_Nup96_1,NPC,739.6769024078743,152.97939071379471
230127_Nup96_1,NPC,829.9571400369583,153.92532917026273
230127_Nup96_1,NPC,223.54406005117747,156.73019712224294
230127_Nup96_1,NPC,448.2694701819528,157.01985283835333
230127_Nup96_1,NPC,284.0322270339203,161.7947130926068
